,Champion Name,Win Rate,Mean,Maximum,Minimum,q3,q1,iqr,median,champion
0,Aatrox,"[52, 59, 49, 56, 51, 47, 47, 50, 58, 48, 48, 55, 45, 59, 44, 50, 46, 41, 50, 47, 67, 48, 60, 62, 46, 52, 53, 58, 59, 57, 47, 50, 53, 64, 54, 50, 55, 57, 59, 49, 44, 70, 38, 62, 56, 68, 61, 63, 54, 44, 59, 56, 63, 64, 70, 65, 59, 39, 50, 45, 50, 56, 38, 50, 59, 56, 52, 51, 52, 50, 67, 52, 47, 55, 61, 58, 47, 50, 62, 52, 50, 65, 45, 48, 52, 59, 47, 71, 48, 42, 59, 57]",53.69565217391305,71,38,59.0,48.0,11.0,52.0,Aatrox
1,Ahri,"[68, 49, 67, 70, 51, 51, 59, 61, 43, 55, 45, 70, 57, 59, 55, 51, 77, 50, 54, 50, 61, 63, 38, 65, 52, 52, 63, 53, 59, 53, 57, 57, 58, 55, 56, 64, 60, 49, 53, 65, 56, 69, 58, 65, 69, 56, 59, 57, 28, 71, 63, 54, 39, 56, 63, 69, 39, 70, 54, 59, 68, 58, 70, 54, 60, 61, 50, 48, 54, 63, 58, 83, 47, 53, 56, 73, 67, 63, 59, 56, 56, 63, 83, 52, 53, 62]",58.127906976744185,83,28,63.0,53.0,10.0,57.5,Ahri
2,Akali,"[53, 50, 46, 50, 61, 63, 60, 66, 53, 61, 55, 50, 69, 56, 30, 54, 56, 43, 67, 57, 77, 59, 69, 50, 44, 53, 52, 42, 58, 29, 58, 54, 50, 47, 67, 60, 70, 40, 42, 61, 45, 55, 55, 44, 44, 42, 38, 57, 69, 42, 52, 61, 62, 65, 74, 47, 56, 68, 65, 52, 53, 74, 57, 55, 58, 54, 40, 57, 35, 71, 67, 47, 54, 57, 52, 55, 52, 55, 62, 57, 53, 55, 60, 55, 54, 50, 58, 52, 30, 54, 70, 60, 64, 45, 44, 47, 47, 48, 52, 75, 64, 63, 53, 45, 45, 56, 50, 42, 56, 39, 42, 37, 41, 48, 56, 55, 65, 23, 59, 58, 69, 68, 57, 49, 50, 23, 49, 67, 59, 46, 42, 46, 58, 59, 42, 50, 66, 68, 46, 50, 48, 63, 67, 41, 57, 40, 54, 54, 81, 64, 67, 57, 54, 70, 59, 63, 53, 56, 45]",54.17610062893082,81,23,60.5,47.0,13.5,55.0,Akali
3,Akshan,"[63, 52, 59, 47, 64, 56, 54, 54, 50, 59, 55, 46, 50, 63, 66, 58, 52, 63, 58, 37, 55, 59, 82, 60, 42, 51, 67, 59, 61, 72, 54, 39, 38, 58, 52, 61, 55, 50, 60, 71, 50, 59, 62, 42, 61, 61, 64, 67, 63, 60, 56, 40, 47, 64, 50, 48, 74, 49, 30, 50, 48, 71, 31, 47, 56, 47, 68, 42, 59, 53, 63, 69, 80, 67, 67, 58, 62, 31, 32, 50, 51, 50, 63, 64, 50, 53, 58, 47, 53, 65, 56, 56, 54, 64, 55, 63, 57, 58, 54, 56, 68, 50, 60, 44, 65, 66, 60, 33, 68, 61, 60, 44, 61, 59, 52, 59, 55, 68, 56, 50, 42, 58, 35, 51, 68, 50, 56, 45]",55.6328125,82,30,62.25,50.0,12.25,56.0,Akshan
4,Alistar,"[53, 76, 69, 67, 54, 62, 40, 61, 63, 55, 58, 45, 56, 53, 64, 60, 61, 69, 56, 62, 51, 62, 56, 47, 50, 49, 58, 43, 59, 69]",57.6,76,40,62.0,53.0,9.0,58.0,Alistar
5,Amumu,"[67, 58, 59, 48, 62, 63, 61, 44, 48, 57, 56, 67, 79, 66, 57]",59.46666666666667,79,44,64.5,56.5,8.0,59.0,Amumu
6,Anivia,"[57, 65, 65, 53, 47, 53, 62, 67, 27, 54, 49, 80, 45, 47, 43, 65, 58, 38, 53, 54, 52, 54, 50, 57, 70, 54, 65, 56, 56, 42, 65, 53, 45]",54.57575757575758,80,27,62.0,49.0,13.0,54.0,Anivia
7,Annie,"[54, 57, 61, 62, 79, 63, 65, 59, 63, 58, 67, 63, 60, 66, 54, 49, 45, 63, 45, 58, 46, 67, 64, 61]",59.541666666666664,79,45,63.25,56.25,7.0,61.0,Annie
8,Aphelios,"[38, 50, 50, 50, 67, 60, 56, 48, 53, 76, 51, 63, 45, 61, 63, 50, 51, 59, 56, 65, 53, 43, 54, 58, 42, 52, 60, 57, 50, 57, 70, 47, 54, 43, 64, 57, 53, 55, 36, 50, 52, 50, 59, 53, 48, 56, 43, 53, 54, 65, 61, 36, 50, 50, 50, 38, 51, 41, 58, 67, 65, 46, 55, 64, 48, 43, 50, 68, 37, 56, 42, 61, 47, 41, 41, 71, 42, 38, 46, 45, 36, 50, 47, 54, 57, 52, 42, 47, 50, 66, 26, 47, 60, 55, 41, 45, 51, 54, 46, 43, 64, 63, 61, 58, 64, 52, 63, 60, 53, 42, 48, 60, 56, 46, 50, 50, 44, 59]",52.28813559322034,76,26,58.75,46.25,12.5,52.0,Aphelios
9,Ashe,"[59, 76, 36, 61, 61, 25, 68, 65, 62, 50, 67, 66, 78, 45, 55, 46, 39, 71, 38, 74, 53, 59, 31, 62, 56, 62, 60, 37, 59]",55.89655172413793,78,25,65.0,46.0,19.0,59.0,Ashe
10,Aurelion Sol,"[53, 48, 64, 56, 57, 56, 55, 56, 55, 46, 51, 51]",54.0,64,46,56.0,51.0,5.0,55.0,Aurelion Sol
11,Azir,"[52, 56, 54, 65, 56, 50, 59, 54, 63, 52, 53, 47, 64, 52]",55.5,65,47,58.25,52.0,6.25,54.0,Azir
12,Bard,"[54, 59, 56, 61, 56, 61, 52, 50, 56, 69, 55, 67, 55, 63, 60, 52, 50, 51, 56, 56, 60, 56, 33, 59, 45, 58, 57, 44, 57, 55, 64, 65, 57, 63, 51, 38, 49, 41, 57, 58, 62, 65, 56, 63, 52, 48, 57, 64, 62, 47, 58, 59, 50, 60, 59, 55, 55, 51, 59, 50, 50, 62, 58, 58, 50, 49, 68, 48, 60, 69, 53, 61, 71, 53, 55, 52, 79, 38, 50, 85, 54, 64, 57, 67, 59, 58, 63, 65, 36, 71, 57, 55, 60, 70, 47]",56.73684210526316,85,33,61.0,52.0,9.0,57.0,Bard
13,Blitzcrank,"[79, 56, 58, 53, 63, 50, 60, 61, 57, 57, 50, 60, 48, 50, 65, 58, 67, 47, 66, 64, 71, 62, 61, 67, 56, 71, 53, 31, 52, 82, 63, 74, 51, 63, 61, 56, 63, 53, 55, 59, 68, 81, 63, 50, 73, 58, 68, 69, 64, 52, 48, 46, 38, 81, 58, 60, 64, 53, 48, 63, 73, 88, 65, 59, 71, 74, 63, 47, 52, 59, 75, 88, 57, 59, 56, 69, 52, 64, 48, 71, 51, 64, 75, 61, 47, 60, 80, 62, 70, 47, 75, 67, 59, 55, 54, 45, 68, 44, 53, 44, 48, 48, 52, 60, 54, 58, 59, 62]",60.092592592592595,88,31,66.25,52.75,13.5,59.5,Blitzcrank
14,Brand,"[52, 56, 55, 35, 44, 56, 58, 65, 46, 51, 50, 52, 52, 73, 61, 58, 55, 64, 52, 70, 69]",55.904761904761905,73,35,61.0,52.0,9.0,55.0,Brand
15,Braum,"[65, 62, 48, 56, 59, 58, 57, 39, 74, 53, 53, 59, 48, 58, 37]",55.06666666666667,74,37,59.0,50.5,8.5,57.0,Braum
16,Caitlyn,"[52, 44, 67, 58, 60, 55, 56, 57, 57, 39, 55, 51, 62, 63, 59, 54, 50, 59, 50, 65, 40, 56, 67, 52, 44, 49, 44, 63, 64, 69, 55, 57, 56, 54, 67, 71, 49, 47, 48, 67, 59, 52, 52, 45, 62, 44, 50, 36, 54, 48, 44, 64, 40, 67, 52, 59, 39, 43, 54, 56, 53, 52, 65, 51, 50, 56, 45, 66, 78, 82, 57, 69, 63, 68, 59, 50, 66, 60, 53, 70, 46, 50, 45, 61, 52, 65, 60, 44, 65, 60, 58, 57, 56, 60, 52, 38, 56, 47, 39, 48, 51, 44, 60, 61, 44, 48, 55, 36, 44, 52, 57, 45, 59, 56, 53, 70, 49, 68, 67, 54, 52, 52, 45, 48, 68, 61, 53, 64, 48, 50, 61, 44, 59, 59, 50, 54, 57, 50, 52, 58, 68, 44, 67, 57, 47, 45, 56, 50, 61, 67, 53, 65, 35, 53, 58, 55, 55, 67, 86, 56, 63, 62, 53, 56, 42, 49, 53, 59, 55, 60, 56, 68, 47, 52, 71, 50, 52, 44, 58, 65, 56, 56, 67, 52, 50, 57, 65, 62, 54, 48, 67, 50, 58, 57, 62, 42, 53, 71, 52, 75, 40, 47, 52, 50, 62, 54, 50, 55, 71, 50, 45, 35, 42, 53, 51, 61, 75, 45, 56, 57, 57, 54, 53, 67, 45, 40, 42, 60, 59, 57, 56, 68, 53, 57, 59, 45, 51, 51, 45, 72, 40, 39, 47, 55, 55, 53, 58, 65, 57, 57, 54, 63, 46, 50, 48, 59, 42, 61, 60, 67, 60, 55, 51, 57, 71, 49, 59, 40, 53, 58, 38, 50, 57, 56, 57, 39, 50, 39, 70, 62, 48, 71, 44, 52, 74, 74, 62, 63, 55, 57, 58, 20, 52, 59, 62, 50, 58, 31, 42, 69, 67, 55, 58, 55, 50, 54, 50, 60, 41, 81, 37, 50, 61, 35, 54, 65, 48, 65, 40, 55, 57, 59, 58, 56, 63, 65, 53, 50, 62, 52, 53, 46, 54]",54.93993993993994,86,20,60.0,50.0,10.0,55.0,Caitlyn
17,Camille,"[54, 58, 65, 60, 45, 44, 53, 57, 68, 53, 59, 61, 59, 68, 42, 50, 47, 53, 50, 55, 52, 56, 55, 53, 48, 44, 59, 50, 51, 44, 50, 32, 47, 71, 58, 61, 56, 53, 62, 52, 59, 54, 65, 62, 66, 55, 61, 38, 51, 37, 55, 52, 65, 59, 50, 54, 58, 66, 41, 63, 71, 58, 52, 51, 56, 39, 60, 75, 47, 62, 55, 37, 70, 44, 57, 58, 61, 58, 47, 56, 56, 59, 75, 41, 59, 58, 57, 44, 60, 60, 46, 45, 53, 60, 65, 50, 53, 55, 54, 50, 56, 56, 52, 59, 55, 64, 68, 45, 61, 63, 52, 55, 52, 62, 59, 53, 64, 45, 45, 54, 72, 57, 53, 49, 55, 55, 50, 56, 71, 51, 29, 61, 38, 73, 56, 52, 35, 71, 60, 68, 44, 64, 60, 56, 58, 46, 36, 65, 63, 52, 60, 55, 74, 65, 49, 47, 52, 44, 55, 42, 41, 62, 57, 63, 57, 40, 59, 73, 72, 65, 56, 56, 38, 62, 49]",55.137142857142855,75,29,60.5,50.0,10.5,56.0,Camille
18,Cassiopeia,"[53, 53, 74, 56, 81, 57, 60, 55, 62, 56, 58, 59, 48, 51, 63, 54, 43, 52, 54, 54, 53, 56, 72, 55, 54, 65, 81, 38, 56, 53, 63, 50, 59, 71, 48, 56, 72, 67, 60, 54, 49, 39]",57.476190476190474,81,38,61.5,53.0,8.5,56.0,Cassiopeia
19,Cho'Gath,"[52, 61, 62, 61, 61, 59, 63, 53, 63, 61, 52, 58, 53, 56, 57, 70, 66, 60, 48, 44, 68, 50, 58]",58.08695652173913,70,44,61.5,53.0,8.5,59.0,Cho'Gath
20,Corki,"[63, 76, 57, 59, 65, 58, 62, 62, 56, 48, 44, 53, 44, 40, 65, 50, 50, 41, 50, 61, 53, 51, 41, 57, 70, 47, 67, 59, 65, 56, 52, 67, 72, 53, 61, 71, 57, 59, 50, 50, 40, 58, 56, 63, 52, 35, 51, 59, 61, 61, 40, 37, 60, 53, 75, 56, 60, 65, 28, 52, 78, 57, 61, 45, 63, 53, 52, 52, 55, 76, 45, 46, 35, 57, 44, 55, 64, 50, 57, 48, 50, 63, 69, 63, 52, 47, 38, 63, 52, 60, 67, 67, 56, 60, 42, 43, 56, 57, 53]",55.303030303030305,78,28,61.5,50.0,11.5,56.0,Corki
21,Darius,"[58, 44, 45, 57, 69, 53, 60, 56, 53, 54, 44, 41, 74, 62, 48, 46, 66, 57, 57, 52, 63, 54, 57, 42, 61, 50, 50, 56, 53, 56, 72, 73, 53, 52, 61, 64, 55, 56, 49, 52, 70, 56, 53, 48, 69, 55, 42, 50, 74, 65, 53, 69, 57, 65, 69, 73, 67, 56, 50, 67, 54, 67, 48, 57, 56, 48, 50, 58, 61, 56, 65, 47, 51, 38, 53, 50, 48, 57, 64, 56, 55, 52, 58, 51, 48, 44, 46, 60, 61, 64, 45, 58, 56, 48, 48, 50, 56, 59, 58, 52]",55.86,74,38,61.0,50.0,11.0,56.0,Darius
22,Diana,"[52, 43, 51, 71, 63, 55, 56, 56, 48, 56, 70, 67, 61, 63, 57, 59, 66, 55, 56, 68, 24, 57, 63, 66, 58, 50, 61, 61, 49, 58, 53, 56, 62, 66, 61, 53, 50, 44, 67, 48, 59, 55, 50, 56, 52, 58, 45, 45, 53, 48, 55, 59, 59, 66, 56, 64, 48, 47, 58, 48, 57, 75, 50, 57, 53, 66, 69, 53, 50, 65, 63, 51, 29, 58, 42, 65, 44, 56, 56, 42, 47, 47, 61, 51, 56, 50, 39, 60, 74, 37, 41, 58, 55, 54, 45, 63, 77, 49, 53, 50, 58, 61, 55, 47, 47, 63, 47, 70, 55, 54, 57, 51, 63, 61, 56, 54, 65, 59, 61, 44, 62, 72, 64, 54, 44, 25, 57, 55, 44, 47, 47, 50, 61, 43, 54, 51, 51, 26, 68, 52, 41, 65, 69, 54, 70, 58, 55, 58, 59, 63, 56, 58, 65, 57, 57, 62, 58, 59, 51, 51, 62, 60, 56, 63, 50, 56, 43, 47, 50, 82, 67, 65, 48, 68, 48, 57, 71, 45, 63, 50, 53, 51, 56, 60, 38, 50, 65, 67, 37, 53, 41, 42, 49, 75, 70, 54, 59]",55.43654822335025,82,24,61.0,50.0,11.0,56.0,Diana
23,Dr. Mundo,"[50, 56, 54, 57, 67, 57, 47, 52, 55, 62, 39, 61, 62, 40, 44, 62, 52, 59, 65, 53, 58, 41, 59, 57, 60, 48, 68, 55, 72, 55]",55.56666666666667,72,39,60.75,52.0,8.75,56.5,Dr. Mundo
24,Draven,"[48, 51, 58, 56, 58, 55, 48, 58, 63, 65, 65, 60, 54, 50, 62, 51, 50, 60, 56, 62, 50, 53, 61, 40, 59, 73, 54, 54, 51, 49, 54, 69, 59, 57, 48, 45, 63, 42, 55, 65, 58, 58, 44, 56, 51, 59, 42, 47, 57, 51, 56, 48, 50, 64, 62, 64, 56, 68, 65, 58, 51, 43, 50, 62, 64, 49, 65, 55, 38, 63, 54, 53, 55, 50, 47, 59, 62, 47, 52, 58, 41, 50, 58, 52, 53, 38, 38, 43, 48, 53, 46, 50, 51, 59, 52, 52, 44, 63, 60, 54, 58, 41]",54.1764705882353,73,38,59.0,50.0,9.0,54.0,Draven
25,Ekko,"[56, 49, 58, 47, 59, 53, 56, 48, 37, 54, 50, 55, 53, 57, 53, 51, 54, 56, 52, 62, 31, 49, 65, 62, 67, 66, 60, 57, 39, 54, 57, 50, 56, 56, 58, 58, 32, 56, 59, 57, 50, 55, 62, 64, 38, 52, 68, 59, 53, 65, 54, 63, 47, 57, 44, 50, 61, 68, 44, 58, 77, 52, 51, 58, 53, 50, 62, 63, 54, 49, 57, 57, 61, 38, 78, 55, 50, 57, 46, 68, 56, 50, 69, 38, 58, 52, 70, 38, 59, 50, 50, 54, 53, 68, 52, 50, 58, 62, 50, 53, 50, 45, 60, 44, 38, 75, 76, 84, 53, 61, 53, 55, 54, 53, 62, 79, 59, 32, 51, 58, 54, 68, 55, 47, 50, 69, 53, 57, 68, 42, 51, 59, 56, 70, 63, 46, 50, 38, 47, 56, 78, 68, 33, 59, 56, 36, 58, 47, 45, 49, 58, 64, 59, 50, 64, 78]",55.32051282051282,84,31,60.0,50.0,10.0,55.0,Ekko
26,Elise,"[68, 58, 68, 55, 50, 50, 53, 81, 50, 63, 66, 67, 59, 48, 62, 54, 64, 45, 50, 58, 69, 49, 59, 82, 53, 44, 66, 53, 58, 55, 67]",58.83870967741935,82,44,66.0,51.5,14.5,58.0,Elise
27,Evelynn,"[50, 60, 41, 68, 65, 56, 33, 63, 54, 61, 55, 71, 52, 53, 56, 56, 46, 65, 56, 53, 53, 59, 54, 75, 39, 48, 58, 54, 52, 70, 46, 61, 67, 46, 56, 60, 57, 44, 63, 48, 62, 50, 48, 52, 52, 33, 44, 45, 66, 47, 51, 63, 43]",54.339622641509436,75,33,61.0,48.0,13.0,54.0,Evelynn
28,Ezreal,"[59, 59, 53, 63, 52, 41, 54, 58, 44, 69, 76, 71, 56, 50, 53, 63, 52, 63, 45, 55, 52, 39, 65, 58, 55, 37, 42, 50, 52, 38, 58, 52, 73, 50, 64, 53, 72, 45, 50, 59, 62, 47, 46, 57, 39, 56, 47, 56, 62, 41, 46, 43, 52, 43, 55, 59, 71, 54, 51, 49, 62, 56, 50, 50, 53, 47, 52, 65, 59, 56, 56, 56, 58, 65, 52, 50, 44, 50, 57, 42, 45, 55, 47, 69, 64, 52, 48, 48, 50, 57, 57, 50, 32, 56, 61, 48, 44, 43, 51, 41, 57, 61, 42, 53, 39, 35, 66, 59, 69, 50, 63, 51, 65, 75, 50, 73, 62, 50, 50, 50, 53, 62, 51, 56, 62, 73, 48, 53, 57, 72, 51, 61, 63, 67, 37, 44, 61, 43, 37, 64, 48, 66, 43, 56, 61, 66, 45, 61, 44, 58, 59, 57, 42, 57, 56, 58, 60, 53, 37, 63, 55, 44, 37, 60, 67, 55, 35, 63, 57, 46, 35, 57, 59, 65, 43, 52, 61, 63, 64, 41, 52, 54, 54, 61, 58, 56, 47, 52, 57, 63, 52, 63, 61, 53, 52, 54, 55, 53, 59, 52, 59, 58, 50, 68, 59, 35, 54, 36, 47, 65, 49, 55, 50, 56, 54, 41, 39, 38, 66, 49, 65, 50, 63, 33, 70, 49, 63, 63, 54, 41, 54, 42, 50, 53, 42, 50, 50, 54, 56, 50, 50, 72, 53, 35, 29, 37, 56, 56, 53, 67, 53, 54, 47, 62, 44, 46, 60, 57, 68, 64, 37, 66, 57, 53, 61, 52, 50, 42, 54, 67, 42, 58, 52, 53, 39, 56, 56, 58, 64, 59, 55, 50, 56, 54, 61, 50, 43, 61, 50]",53.719723183391004,76,29,60.0,49.0,11.0,54.0,Ezreal
29,Fiddlesticks,"[54, 56, 57, 61, 57, 57, 63, 53, 71, 56, 81, 36, 49, 56, 70, 56, 51, 53, 78, 50, 50, 58, 50, 69, 45, 64, 84, 66, 58, 67, 64, 80, 65, 56, 53, 56, 53, 56, 53, 64, 54, 72, 56, 64, 74, 47, 61, 63]",59.729166666666664,84,36,64.25,53.0,11.25,57.0,Fiddlesticks
30,Fiora,"[64, 48, 55, 60, 45, 52, 64, 52, 59, 62, 55, 38, 57, 60, 63, 52, 44, 55, 69, 58, 53, 53, 75, 65, 56, 59, 55, 38, 39, 51, 53, 61, 60, 52, 51, 51, 45, 54, 57, 58, 39, 58, 50, 68, 60, 58, 65, 43, 50, 47, 60, 52, 48, 59, 61, 50, 72, 64, 49, 61, 69, 57, 50, 50, 50, 48, 61, 54, 53, 50, 49, 48, 64, 51, 50, 55, 52, 55, 52, 35, 59, 75, 47, 56, 60, 37, 49, 55, 48, 61, 42, 51, 55, 54, 46, 66, 55, 65]",54.55102040816327,75,35,60.0,50.0,10.0,54.5,Fiora
31,Fizz,"[53, 58, 56, 70, 58, 50, 68, 51, 54, 64, 57, 51, 53, 58, 53, 69, 59, 62, 53, 52, 55, 59, 57, 63, 69, 45, 50, 74, 44, 64, 67, 51, 56, 45, 58, 60, 56, 61, 70, 38, 46, 58, 52, 53, 63, 65, 64, 70, 55, 53, 64, 56, 50, 65, 63, 63, 48, 61, 70, 61, 55, 69, 35, 57, 72, 57, 63, 64, 47, 68]",57.97142857142857,74,35,64.0,53.0,11.0,58.0,Fizz
32,Galio,"[59, 56, 58, 58, 61, 51, 54, 56, 63, 47, 50, 65, 52, 89, 51, 62, 58, 42, 62, 54, 56, 50, 51, 58, 68, 56, 43, 60, 44, 56, 65, 41, 50, 61, 67]",56.4,89,41,61.0,51.0,10.0,56.0,Galio
33,Gangplank,"[54, 63, 55, 54, 47, 53, 56, 24, 52, 48, 63, 56, 70, 44, 53, 56, 47, 48, 77, 50, 65, 60, 57, 49, 58, 53, 55, 62, 54, 58, 47, 53, 47, 55, 58, 37, 37, 70, 57, 49, 55, 50, 67, 47, 61, 62, 58, 50, 42, 66, 48, 68, 63, 57, 61, 63, 60, 58, 59, 48, 50, 54, 57, 65, 55, 53, 51, 26, 49, 38, 49, 51, 65, 44, 69, 44]",54.13157894736842,77,24,60.0,49.0,11.0,54.5,Gangplank
34,Garen,"[38, 63, 52, 61, 63, 67, 56, 51, 60, 50, 61, 67, 44, 51, 65, 59, 71, 36, 54, 58, 61, 53, 49, 63, 48, 58, 49, 57, 62, 63, 62, 71, 53, 63, 59, 65, 53, 50, 60, 54, 50, 68, 59, 45, 52, 50, 47, 59, 56, 49, 51, 49]",56.05769230769231,71,36,62.0,50.0,12.0,56.5,Garen
35,Gnar,"[59, 54, 56, 57, 49, 63, 55, 63, 57, 56, 48, 55, 56, 44, 57, 62, 53, 67, 32, 50, 57, 70, 44, 57, 66, 50, 47, 44, 64]",54.89655172413793,70,32,59.0,50.0,9.0,56.0,Gnar
36,Gragas,"[74, 57, 52, 59, 57, 58, 64, 65, 60, 52, 70, 58, 50, 38, 62, 23, 54, 72, 56, 53, 71, 52, 50, 53, 35, 66, 47, 53, 58, 58, 60, 62, 47, 48, 55, 39, 70, 55, 56, 38, 67, 59, 78, 46, 71, 63, 53, 50, 47, 50, 60, 56, 62, 48, 60, 50, 55, 47, 56, 56, 53, 55, 67, 48]",55.6875,78,23,60.5,50.0,10.5,56.0,Gragas
